temperature_over_Jzz,heat_capacity_per_site,entropy_per_site,delta_log10_temperature,delta_heat_capacity_per_site,delta_entropy_per_site
1.533355069,0.04245214258,0.6582356089,0.002,0.0015,0.002
1.552333289,0.04166508074,0.6586809176,0.002,0.0015,0.002
1.571244374,0.0407181472,0.6591262271,0.002,0.0015,0.002
1.594671064,0.03930389554,0.6595372819,0.002,0.0015,0.002
1.614408188,0.03851683401,0.6599825914,0.002,0.0015,0.002
1.634389588,0.03930389554,0.6608732097,0.002,0.0015,0.002
1.654618306,0.03772977217,0.6612842644,0.002,0.0015,0.002
1.675097392,0.03694271033,0.661729574,0.002,0.0015,0.002
1.691597979,0.03536858697,0.6621748826,0.002,0.0015,0.002
1.712534752,0.03536858697,0.6626201921,0.002,0.0015,0.002
1.733730666,0.03694271033,0.6630655017,0.002,0.0015,0.002
1.75518892,0.03631552051,0.6630655017,0.002,0.0015,0.002
1.772478451,0.03411420732,0.6634765565,0.002,0.0015,0.002
1.794416274,0.03049864247,0.6639218651,0.002,0.0015,0.002
1.812092215,0.03160544803,0.6643671747,0.002,0.0015,0.002
1.834520344,0.03427407934,0.6648124842,0.002,0.0015,0.002
1.852591331,0.03459382305,0.665223539,0.002,0.0015,0.002
1.875520715,0.03160544803,0.665223539,0.002,0.0015,0.002
1.893995576,0.02924426283,0.6656688482,0.002,0.0015,0.002
1.912652425,0.02955170862,0.6661141575,0.002,0.0015,0.002
1.931493054,0.03096596028,0.6665594668,0.002,0.0015,0.002
1.955398998,0.0311258323,0.6665594668,0.002,0.0015,0.002
1.974660703,0.03003132466,0.6670047754,0.002,0.0015,0.002
1.994495448,0.02813745727,0.6674158302,0.002,0.0015,0.002
2.014142273,0.02813745727,0.6674158302,0.002,0.0015,0.002
2.03398263,0.0287646471,0.6678611397,0.002,0.0015,0.002
2.054018425,0.02767013915,0.6683064493,0.002,0.0015,0.002
2.074251583,0.02530895395,0.6683064493,0.002,0.0015,0.002
2.094684048,0.0265633336,0.6687517579,0.002,0.0015,0.002
2.115317783,0.02829732897,0.6687517579,0.002,0.0015,0.002
2.136565388,0.02530895395,0.6691970675,0.002,0.0015,0.002
2.152227326,0.02436202041,0.6696081222,0.002,0.0015,0.002
2.173427893,0.02578856968,0.6696081222,0.002,0.0015,0.002
2.194837296,0.02609601579,0.6700534318,0.002,0.0015,0.002
2.216457594,0.02500150815,0.6700534318,0.002,0.0015,0.002
2.233134351,0.02436202041,0.6704987405,0.002,0.0015,0.002
2.255131895,0.02373483058,0.6704987405,0.002,0.0015,0.002
2.271662987,0.0238947026,0.67094405,0.002,0.0015,0.002
2.294040058,0.02358725649,0.67094405,0.002,0.0015,0.002
2.317082852,0.02326751277,0.6713551048,0.002,0.0015,0.002
2.334068072,0.02122607129,0.6713551048,0.002,0.0015,0.002
2.357059866,0.02342738448,0.6713551048,0.002,0.0015,0.002
2.374338123,0.02185326111,0.6718004143,0.002,0.0015,0.002
2.392202783,0.02232057892,0.6718004143,0.002,0.0015,0.002
2.403725127,0.02530895395,0.672245723,0.002,0.0015,0.002
2.445667003,0.0216933891,0.672245723,0.002,0.0015,0.002
2.482131021,0.02011926573,0.6726910325,0.002,0.0015,0.002
2.524955625,0.01886488609,0.6731363421,0.002,0.0015,0.002
2.56260182,0.02027913775,0.6735473968,0.002,0.0015,0.002
2.6068148,0.02059888146,0.6735473968,0.002,0.0015,0.002
2.645681487,0.01854514237,0.673992706,0.002,0.0015,0.002
2.685127649,0.01761050644,0.674438015,0.002,0.0015,0.002
2.724638216,0.0166635729,0.674438015,0.002,0.0015,0.002
2.765261595,0.01698331661,0.6748833246,0.002,0.0015,0.002
2.806490653,0.0168234446,0.6748833246,0.002,0.0015,0.002
2.847787028,0.01698331661,0.6753286341,0.002,0.0015,0.002
